sentence,audio,start,end,stripped_sentence,distance
Пролог,audio/processed/semesyuk_farshrutka/01_prologue/1.mp3,0.99,1.47,пролог,0
"Українці усіх можливих конструкцій, форм і кольорів пики!",audio/processed/semesyuk_farshrutka/01_prologue/2.mp3,2.82,7.32,українці усіх можливих конструкцій форм і кольорів пики,1
"Ця мить настала, і світ знову бачить видані на коштовному папері пригоди балакучої мавпи породи павіан.",audio/processed/semesyuk_farshrutka/01_prologue/3.mp3,7.14,14.549969,ця мить настала і світ знову бачить видані на коштовному папері пригоди балакучої мавпи породи павіан,2
"Не кожна мавпа здатна до нормальних пригод, це зрозуміло, але конкретно ця цілком собі здатна, оскільки набула людського життєвого досвіду і навіть вийшла за його межі.",audio/processed/semesyuk_farshrutka/01_prologue/4.mp3,14.37,25.92,не кожна мавпа здатна до нормальних пригод це зрозуміло але конкретно ця цілком собі здатна оскільки набула людського життєвого досвіду і навіть вийшла за його межі,9
"Сюжет мавпунського життя простий та водночас насичений драматичними епізодами, кризами і боротьбою.",audio/processed/semesyuk_farshrutka/01_prologue/5.mp3,25.41,32.91,сюжет мавпунського життя простий та водночас насичений драматичними епізодами кризами і боротьбою,7
"Павіан має уредний характер, чоловічу стать, наділений схильністю до фрустрацій та рефлексій, а також кмітливістю.",audio/processed/semesyuk_farshrutka/01_prologue/6.mp3,32.4,40.95,павіан має уредний характер чоловічу стать наділений схильністю до фрустрацій та рефлексій а також кмітливістю,5
"Крім того, а це важливо, павіан має ім'я, прізвище та по-батькові.",audio/processed/semesyuk_farshrutka/01_prologue/7.mp3,40.71,46.59,крім того а це важливо павіан має ім'я прізвище та по батькові,0
"Звати його Томас Якович Сирота і це ім'я він поцупив разом із паспортними даними одного нікчеми ще на початку попередньої книжки[1], коли тікав з провінційного цирку на волю.",audio/processed/semesyuk_farshrutka/01_prologue/8.mp3,46.32,60.09,звати його томас якович сирота і це ім'я він поцупив разом із паспортними даними одного нікчеми ще на початку попередньої книжки 1 коли тікав з провінційного цирку на волю,6
"Фактично, свою людську кар'єру він розпочав з крадіжки, і не простої, а крадіжки сенсів, якщо хочете — цілого світогляду.",audio/processed/semesyuk_farshrutka/01_prologue/9.mp3,59.43,69.06,фактично свою людську кар'єру він розпочав з крадіжки і не простої а крадіжки сенсів якщо хочете цілого світогляду,1
"Дійсно, як нам уже відомо з попередньої оповідки, павіан Томас, потомствений цирковий кріпак, усе своє життя пропрацював у мандрівному цирку, що більше нагадував СІЗО, аніж розважальний заклад.",audio/processed/semesyuk_farshrutka/01_prologue/10.mp3,68.52,82.08,дійсно як нам уже відомо з попередньої оповідки павіан томас потомствений цирковий кріпак усе своє життя пропрацював у мандрівному цирку що більше нагадував сізо аніж розважальний заклад,6
"Ночами, сидячи у клітці, він мріяв про волю, конфліктував крізь ґрати з іншими цирковими тваринами і вчив українську мову.",audio/processed/semesyuk_farshrutka/01_prologue/11.mp3,81.39,91.2,ночами сидячи у клітці він мріяв про волю конфліктував крізь ґрати з іншими цирковими тваринами і вчив українську мову,1
"Так-так, шановні!",audio/processed/semesyuk_farshrutka/01_prologue/12.mp3,90.69,92.55,так так шановні,1
"Окремі мавпи наділені більшими лінгвістичними здібностями, ніж певна порода громадян нашої країни.",audio/processed/semesyuk_farshrutka/01_prologue/13.mp3,92.16,100.08,окремі мавпи наділені більшими лінгвістичними здібностями ніж певна порода громадян нашої країни,1
"Звичайно, Томас Якович мав дуже специфічну мотивацію до вивчення мови, яку йому диктувало саме середовище, але на снобізм він точно не страждав.",audio/processed/semesyuk_farshrutka/01_prologue/14.mp3,99.42,110.790059,звичайно томас якович мав дуже специфічну мотивацію до вивчення мови яку йому диктувало саме середовище але на снобізм він точно не страждав,5
"Мавпун не довіряв людям і хотів розібратися, як саме вони влаштовані зсередини.",audio/processed/semesyuk_farshrutka/01_prologue/15.mp3,110.55,116.13,мавпун не довіряв людям і хотів розібратися як саме вони влаштовані зсередини,3
"Просто так сталося, що саме ці люди були паспортними українцями з усіма довідками та ідентифікаційними кодами.",audio/processed/semesyuk_farshrutka/01_prologue/16.mp3,115.8,124.26,просто так сталося що саме ці люди були паспортними українцями з усіма довідками та ідентифікаційними кодами,2
"Отже, Томас українізувався через недовіру але це вже інша розмова.",audio/processed/semesyuk_farshrutka/01_prologue/17.mp3,123.9,130.349941,отже томас українізувався через недовіру але це вже інша розмова,2
"«Краще так, аніж усе життя бути добросердим ідіотом і пускати ротом соціал-демократичні бульбашки!»",audio/processed/semesyuk_farshrutka/01_prologue/18.mp3,130.17,138.63,краще так аніж усе життя бути добросердим ідіотом і пускати ротом соціал демократичні бульбашки,5
"— думав Томас Якович і вважав себе переконаним націонал-спеціалістом, ким, власне, й був.",audio/processed/semesyuk_farshrutka/01_prologue/19.mp3,138.3,146.16,думав томас якович і вважав себе переконаним націонал спеціалістом ким власне й був,3
"У мить, коли мавпун знову з'являється на сторінках літературного твору, він наділений ще й неабиякою упрілістю, рішучістю і легким переляком.",audio/processed/semesyuk_farshrutka/01_prologue/20.mp3,146.07,156.030352,у мить коли мавпун знову з'являється на сторінках літературного твору він наділений ще й неабиякою упрілістю рішучістю і легким переляком,19
"Це й не дивно, адже саме зараз Томас Якович вистрибує з нічного потяга, котрий суне із шаленою швидкістю на Київ, бо крізь усі вагони за павіаном женуться троє мусорів з метою впаяти йому штраф у триста гривень.",audio/processed/semesyuk_farshrutka/01_prologue/21.mp3,155.88,171.63,це й не дивно адже саме зараз томас якович вистрибує з нічного потяга котрий суне із шаленою швидкістю на київ бо крізь усі вагони за павіаном женуться троє мусорів з метою впаяти йому штраф у триста гривень,4
"Грошей, між тим, нема, через що проїзд і став для нього безкоштовним.",audio/processed/semesyuk_farshrutka/01_prologue/22.mp3,171.422344,177.36,грошей між тим нема через що проїзд і став для нього безкоштовним,8
"Мусимо нагадати фрагмент епілогу з попередньої книжки, бо саме в ньому закладено підмурок для нової, не менш ідіотської історії.",audio/processed/semesyuk_farshrutka/01_prologue/23.mp3,176.94,185.37,мусимо нагадати фрагмент епілогу з попередньої книжки бо саме в ньому закладено підмурок для нової не менш ідіотської історії,4
